ID,Number,Unique Number,Category,Date,Introduction EN,Introduction FR,Introduction ES,Introduction ZH,Introduction RU,Introduction AR,Title EN,Title FR,Title ES,Title ZH,Title RU,Title AR,WHC Transparency ID,Coordinates,createdAt,updatedAt,documentId,publishedAt,Country Code,Country Title EN,Regional Group
1,1,1,Natural,1978,"Situated in the Pacific Ocean...","Situées dans l'océan Pacifique...","Situadas en el océano Pacífico...","位于太平洋...","Расположены в Тихом океане...","تقع في المحيط الهادئ...","Galápagos Islands","Îles Galápagos","Islas Galápagos","加拉帕戈斯群岛","Галапагосские острова","جزر غالاباغوس",1,"-0.75, -90.5",2023-01-01,2023-01-01,doc1,2023-01-01,EC,Ecuador,"Latin America and the Caribbean"
2,2,2,Cultural,1978,"Located on a rocky island...","Situé sur un îlot rocheux...","Situado en un islote rocoso...","位于岩石岛上...","Расположен на скалистом острове...","يقع على جزيرة صخرية...","Mont-Saint-Michel and its Bay","Le Mont-Saint-Michel et sa baie","Monte Saint-Michel y su bahía","圣米歇尔山及其海湾","Мон-Сен-Мишель и его бухта","جبل القديس ميشيل وخليجه",2,"48.636, -1.511",2023-01-01,2023-01-01,doc2,2023-01-01,FR,France,"Europe and North America"
3,3,3,Cultural,1978,"Built in the 13th century...","Construit au XIIIe siècle...","Construido en el siglo XIII...","建于13世纪...","Построен в XIII веке...","بُني في القرن الثالث عشر...","Palace and Park of Versailles","Château et parc de Versailles","Palacio y parque de Versalles","凡尔赛宫及其园林","Дворец и парк Версаль","قصر وحديقة فرساي",3,"48.8048, 2.1203",2023-01-01,2023-01-01,doc3,2023-01-01,FR,France,"Europe and North America"
4,4,4,Cultural,1987,"Perched high in the Andes...","Perché haut dans les Andes...","Encaramado en los Andes...","坐落在安第斯山脉高处...","Расположен высоко в Андах...","يقع عالياً في جبال الأنديز...","Historic Sanctuary of Machu Picchu","Sanctuaire historique de Machu Picchu","Santuario histórico de Machu Picchu","马丘比丘历史保护区","Исторический заповедник Мачу-Пикчу","محمية ماتشو بيتشو التاريخية",4,"-13.1631, -72.5450",2023-01-01,2023-01-01,doc4,2023-01-01,PE,Peru,"Latin America and the Caribbean"
5,5,5,Cultural,1985,"One of the world's most famous archaeological sites...","L'un des sites archéologiques les plus célèbres...","Uno de los sitios arqueológicos más famosos...","世界最著名的考古遗址之一...","Один из самых известных археологических памятников...","واحد من أشهر المواقع الأثرية...","Petra","Pétra","Petra","佩特拉","Петра","البتراء",5,"30.3285, 35.4444",2023-01-01,2023-01-01,doc5,2023-01-01,JO,Jordan,"Arab States"
6,6,6,Cultural,1982,"A magnificent temple complex...","Un magnifique complexe de temples...","Un magnífico complejo de templos...","宏伟的寺庙建筑群...","Великолепный храмовый комплекс...","مجمع معابد رائع...","Angkor","Angkor","Angkor","吴哥窟","Ангкор","أنغكور",6,"13.4125, 103.8670",2023-01-01,2023-01-01,doc6,2023-01-01,KH,Cambodia,"Asia and the Pacific"
7,7,7,Cultural,1983,"An ivory-white marble mausoleum...","Un mausolée en marbre blanc ivoire...","Un mausoleo de mármol blanco marfil...","象牙白大理石陵墓...","Мавзолей из белого мрамора...","ضريح من الرخام الأبيض العاجي...","Taj Mahal","Taj Mahal","Taj Mahal","泰姬陵","Тадж-Махал","تاج محل",7,"27.1751, 78.0421",2023-01-01,2023-01-01,doc7,2023-01-01,IN,India,"Asia and the Pacific"
8,8,8,Cultural,1987,"A colossal amphitheatre...","Un amphithéâtre colossal...","Un anfiteatro colosal...","巨大的圆形剧场...","Колоссальный амфитеатр...","مدرج ضخم...","Historic Centre of Rome","Centre historique de Rome","Centro histórico de Roma","罗马历史中心","Исторический центр Рима","المركز التاريخي لروما",8,"41.8902, 12.4922",2023-01-01,2023-01-01,doc8,2023-01-01,IT,Italy,"Europe and North America"
9,9,9,Natural,1978,"The first national park...","Le premier parc national...","El primer parque nacional...","第一个国家公园...","Первый национальный парк...","أول حديقة وطنية...","Yellowstone National Park","Parc national de Yellowstone","Parque Nacional de Yellowstone","黄石国家公园","Йеллоустонский национальный парк","حديقة يلوستون الوطنية",9,"44.4280, -110.5885",2023-01-01,2023-01-01,doc9,2023-01-01,US,"United States of America","Europe and North America"
10,10,10,Cultural,1986,"The most famous monument in Egypt...","Le monument le plus célèbre d'Égypte...","El monumento más famoso de Egipto...","埃及最著名的纪念碑...","Самый знаменитый памятник Египта...","النصب التذكاري الأكثر شهرة في مصر...","Memphis and its Necropolis","Memphis et sa nécropole","Menfis y su necrópolis","孟菲斯及其墓地","Мемфис и его некрополь","ممفيس ومقبرتها",10,"29.9792, 31.1342",2023-01-01,2023-01-01,doc10,2023-01-01,EG,Egypt,"Arab States"
